adenoma	DOID_657	hsa-let-7a	normal	Northern blot, qRT-PCR etc	2007.0	Disrupting the pairing between let-7 and Hmga2 enhances oncogenic transformation.
cholesteatoma	DOID_869	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Cholesteatoma Growth and Proliferation: Posttranscriptional Regulation by MicroRNA-21.
chronic pancreatitis	DOID_13315	hsa-mir-125a	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-7-3	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-10b	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-194	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-195	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-125b-1	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-125b-2	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-126	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-100-1	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-100-2	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-483	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-494	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-96	down-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-128b	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-339	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-383	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-409-3p	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-198	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-497	down-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-99a	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-197	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-199a-1	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-199a-2	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
chronic pancreatitis	DOID_13315	hsa-mir-199b	up-regulated	microarray	2007.0	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
colorectal cancer	DOID_1985	hsa-let-7g	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-125a	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-135b	up-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-133b	down-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-140	down-regulated	northern blot, qRT-PCR etc	2009.0	Mechanism of chemoresistance mediated by miR-140 in human osteosarcoma and colon cancer cells
colorectal cancer	DOID_1985	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	Association of inflammation-related and microRNA gene expression with cancer-specific mortality of colon adenocarcinoma
colorectal cancer	DOID_1985	hsa-mir-106b	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-130b	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-181b	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-21	up-regulated	northern blot, qRT-PCR etc	2009.0	microRNA-21 negatively regulates Cdc25A and cell cycle progression in colon cancer cells
colorectal cancer	DOID_1985	hsa-mir-141	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-141 Regulates Smad Interacting Protein 1 (SIP1) and Inhibits Migration and Invasion of Colorectal Cancer Cells
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-143 reduces viability and increases sensitivity to 5-fluorouracil in HCT116 human colorectal cancer cells
colorectal cancer	DOID_1985	hsa-mir-1	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-10b	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-125a	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-133a	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-139	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-195	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-30a-3p	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-30a-5p	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-30c	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-378*	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-422a	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-422b	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-497	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-203	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-34a	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-95	down-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-106a	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-19a	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-19b	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-20a	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-21	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-224	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-25	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-29a	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-96	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-17-5p	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-182	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-183	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-18a	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-29b	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-93	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-31	up-regulated	microarray	2009.0	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
colorectal cancer	DOID_1985	hsa-mir-7-3	up-regulated	Northern blot, qRT-PCR etc	2005.0	Real-time expression profiling of microRNA precursors in human cancer cell lines.
colorectal cancer	DOID_1985	hsa-mir-132	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-30a-3p	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-30a-3p	down-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-30a-5p	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-31	up-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-31	up-regulated	Northern blot, qRT-PCR etc	2007.0	Altered expression of miR-21, miR-31, miR-143 and miR-145 is related to clinicopathologic features of colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-32	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-19a	up-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-24-1	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-24-2	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-25	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-30c	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-30c	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-18a*	down-regulated	northern blot, qRT-PCR etc	2009.0	The miR-18a* microRNA functions as a potential tumor suppressor by targeting on K-Ras.
colorectal cancer	DOID_1985	hsa-mir-9-1	down-regulated	northern blot, qRT-PCR etc	2009.0	Epigenetic regulation of microRNA expression in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	northern blot, qRT-PCR etc	2009.0	MicroRNA-143 targets DNA methyltransferases 3A in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-137	down-regulated	northern blot, qRT-PCR etc	2009.0	Epigenetic regulation of microRNA expression in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	northern blot, qRT-PCR etc	2009.0	Mechanism of growth inhibition by MicroRNA 145: the role of the IGF-I receptor signaling pathway.
colorectal cancer	DOID_1985	hsa-mir-200c	up-regulated	Northern blot, qRT-PCR etc	2006.0	Prognostic Values of microRNAs in Colorectal Cancer.
colorectal cancer	DOID_1985	hsa-mir-200c	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-203	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA expression profiles associated with prognosis and therapeutic outcome in colon adenocarcinoma.
colorectal cancer	DOID_1985	hsa-mir-26a	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-320	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-17-5p	down-regulated	Northern blot, qRT-PCR etc	2008.0	Deregulated expression of miR-106a predicts survival in human colon cancer patients.
colorectal cancer	DOID_1985	hsa-mir-17-5p	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-21	up-regulated	microarray	2009.0	Locked nucleic acid in situ hybridization analysis of miR-21 expression during colorectal cancer development.
colorectal cancer	DOID_1985	hsa-mir-129-2	down-regulated	northern blot, qRT-PCR etc	2009.0	Epigenetic regulation of microRNA expression in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-31	up-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-451	down-regulated	northern blot, qRT-PCR etc	2009.0	microRNA-451 regulates macrophage migration inhibitory factor production and proliferation of gastrointestinal cancer cells.
colorectal cancer	DOID_1985	hsa-mir-92	up-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-106a	down-regulated	Northern blot, qRT-PCR etc	2008.0	Deregulated expression of miR-106a predicts survival in human colon cancer patients.
colorectal cancer	DOID_1985	hsa-mir-106a	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-124a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Genetic unmasking of an epigenetically silenced microRNA in human cancer cells.
colorectal cancer	DOID_1985	hsa-mir-17-5p	up-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-196a	up-regulated	northern blot, qRT-PCR etc	2009.0	High miR-196a levels promote the oncogenic phenotype of colorectal cancer cells.
colorectal cancer	DOID_1985	hsa-mir-155	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-296	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-183	up-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-18a	up-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-20a	up-regulated	microarray	2009.0	Over- and under-expressed microRNAs in human colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-27a	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-27b	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-328	down-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-127	down-regulated	Northern blot, qRT-PCR etc	2006.0	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	northern blot, qRT-PCR etc	2009.0	Role of miR-143 targeting KRAS in colorectal tumorigenesis.
colorectal cancer	DOID_1985	hsa-mir-192	down-regulated	Northern blot, qRT-PCR etc	2009.0	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
colorectal cancer	DOID_1985	hsa-mir-194	down-regulated	Northern blot, qRT-PCR etc	2009.0	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
colorectal cancer	DOID_1985	hsa-mir-17-92	up-regulated	Northern blot, qRT-PCR etc	2006.0	Augmentation of tumor angiogenesis by a Myc-activated microRNA cluster.
colorectal cancer	DOID_1985	hsa-mir-181a	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	northern blot, qRT-PCR etc	2006.0	MicroRNAs 143 and 145 are possible common onco-microRNAs in human cancers.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	Northern blot, qRT-PCR etc	2007.0	MicroRNA-143 and -145 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	Northern blot, qRT-PCR etc	2003.0	Reduced accumulation of specific microRNAs in colorectal neoplasia.
colorectal cancer	DOID_1985	hsa-mir-143	down-regulated	Northern blot, qRT-PCR etc	2007.0	Altered expression of miR-21, miR-31, miR-143 and miR-145 is related to clinicopathologic features of colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-215	down-regulated	Northern blot, qRT-PCR etc	2009.0	p53-Responsive micrornas 192 and 215 are capable of inducing cell cycle arrest.
colorectal cancer	DOID_1985	hsa-mir-128b	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-129	down-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-339	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-342	down-regulated	Northern blot, qRT-PCR etc	2008.0	Epigenetic silencing of the intronic microRNA hsa-miR-342 and its host gene EVL in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-221	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-126	down-regulated	Northern blot, qRT-PCR etc	2008.0	The noncoding RNA, miR-126, suppresses the growth of neoplastic cells by targeting phosphatidylinositol 3-kinase signaling and is frequently lost in colon cancers.
colorectal cancer	DOID_1985	hsa-let-7a	down-regulated	Northern blot, qRT-PCR etc	2007.0	Detection of let-7a microRNA by real-time PCR in colorectal cancer: a single-centre experience from China.
colorectal cancer	DOID_1985	hsa-mir-20a	up-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-20a	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-20a	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA expression profiles associated with prognosis and therapeutic outcome in colon adenocarcinoma.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	Northern blot, qRT-PCR etc	2006.0	MicroRNAs 143 and 145 are possible common onco-microRNAs in human cancers.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	Northern blot, qRT-PCR etc	2007.0	MicroRNA-143 and -145 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	Northern blot, qRT-PCR etc	2007.0	Micro RNA 145 targets the insulin receptor substrate-1 and inhibits the growth of colon cancer cells.
colorectal cancer	DOID_1985	hsa-mir-23a	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-223	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-96	up-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-34a	up-regulated	Northern blot, qRT-PCR etc	2007.0	Tumor-suppressive miR-34a induces senescence-like growth arrest through modulation of the E2F pathway in human colon cancer cells.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	Northern blot, qRT-PCR etc	2008.0	Diagnostic and prognostic microRNAs in stage II colon cancer.
colorectal cancer	DOID_1985	hsa-mir-10a	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-20a	up-regulated	Northern blot, qRT-PCR etc	2008.0	Diagnostic and prognostic microRNAs in stage II colon cancer.
colorectal cancer	DOID_1985	hsa-mir-320	up-regulated	microarray	2008.0	Diagnostic and prognostic microRNAs in stage II colon cancer.
colorectal cancer	DOID_1985	hsa-mir-92	up-regulated	Northern blot, qRT-PCR etc	2008.0	Diagnostic and prognostic microRNAs in stage II colon cancer.
colorectal cancer	DOID_1985	hsa-mir-181b	up-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-181b	up-regulated	Northern blot, qRT-PCR etc	2006.0	Prognostic Values of microRNAs in Colorectal Cancer.
colorectal cancer	DOID_1985	hsa-mir-181b	up-regulated	Northern blot, qRT-PCR etc	2008.0	MicroRNA expression profiles associated with prognosis and therapeutic outcome in colon adenocarcinoma.
colorectal cancer	DOID_1985	hsa-mir-183	up-regulated	Northern blot, qRT-PCR etc	2006.0	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
colorectal cancer	DOID_1985	hsa-mir-29b-2	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-191	up-regulated	microarray	2006.0	A microRNA expression signature of human solid tumors defines cancer gene targets.
colorectal cancer	DOID_1985	hsa-mir-191	down-regulated	Northern blot, qRT-PCR etc	2006.0	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
colorectal cancer	DOID_1985	hsa-mir-191	up-regulated	Northern blot, qRT-PCR etc	2006.0	Prognostic Values of microRNAs in Colorectal Cancer.
colorectal cancer	DOID_1985	hsa-let-7a-1	down-regulated	Northern blot, qRT-PCR etc	2006.0	let-7 microRNA functions as a potential growth suppressor in human colon cancer cells.
colorectal cancer	DOID_1985	hsa-mir-34b	down-regulated	Northern blot, qRT-PCR etc	2008.0	Epigenetic silencing of microRNA-34b/c and B-cell translocation gene 4 is associated with CpG island methylation in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-34c	down-regulated	Northern blot, qRT-PCR etc	2008.0	Epigenetic silencing of microRNA-34b/c and B-cell translocation gene 4 is associated with CpG island methylation in colorectal cancer.
colorectal cancer	DOID_1985	hsa-mir-145	down-regulated	Northern blot, qRT-PCR etc	2003.0	Reduced accumulation of specific microRNAs in colorectal neoplasia.
