Label	Relation
is bound by sequence of	http://purl.obolibrary.org/obo/RO_0002523
enabled by	http://purl.obolibrary.org/obo/RO_0002333
has modifier	http://purl.obolibrary.org/obo/RO_0002573
connected to	http://purl.obolibrary.org/obo/RO_0002170
has derived by descendant	http://purl.obolibrary.org/obo/RO_0002157
causes or contributes to condition	http://purl.obolibrary.org/obo/RO_0003302
directly develops from	http://purl.obolibrary.org/obo/RO_0002207
has member	http://purl.obolibrary.org/obo/RO_0002351
defined by inverse	http://purl.obolibrary.org/obo/RO_0002259
is upstream of sequence of	http://purl.obolibrary.org/obo/RO_0002528
is positive form of	http://purl.obolibrary.org/obo/RO_0004049
end, weeks post birth	http://purl.obolibrary.org/obo/RO_0002550
differs in	http://purl.obolibrary.org/obo/RO_0002424
causally upstream of, positive effect	http://purl.obolibrary.org/obo/RO_0002304
in out-paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000024
has role in modeling	http://purl.obolibrary.org/obo/RO_0003301
visited by	http://purl.obolibrary.org/obo/RO_0002619
generically depends on	http://purl.obolibrary.org/obo/RO_0010001
is asymmetric relational form of process class	http://purl.obolibrary.org/obo/RO_0002560
is concretized as	http://purl.obolibrary.org/obo/RO_0000058
results in breakdown of	http://purl.obolibrary.org/obo/RO_0002586
dubious for taxon	http://purl.obolibrary.org/obo/RO_0002174
has application role	http://purl.obolibrary.org/obo/RO_0002261
regulates levels of	http://purl.obolibrary.org/obo/RO_0002332
is evidence with support from	http://purl.obolibrary.org/obo/RO_0002614
receives synaptic input in region	http://purl.obolibrary.org/obo/RO_0013002
existence starts and ends during	http://purl.obolibrary.org/obo/RO_0002491
existence ends with	http://purl.obolibrary.org/obo/RO_0002493
has 2d boundary	http://purl.obolibrary.org/obo/RO_0002002
immediately causally upstream of	http://purl.obolibrary.org/obo/RO_0002412
in latent homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000057
existence ends during or before	http://purl.obolibrary.org/obo/RO_0002497
capable of	http://purl.obolibrary.org/obo/RO_0002215
immediate transformation of	http://purl.obolibrary.org/obo/RO_0002495
anabranch of	http://purl.obolibrary.org/obo/RO_0002378
is autoimmune trigger for	http://purl.obolibrary.org/obo/RO_0001021
temporal logical macro assertion on a class	http://purl.obolibrary.org/obo/RO_0002535
has soma location	http://purl.obolibrary.org/obo/RO_0002100
has exposure route	http://purl.obolibrary.org/obo/RO_0002242
evolutionarily related to	http://purl.obolibrary.org/obo/RO_0002320
relation between physical entity and a process or stage	http://purl.obolibrary.org/obo/RO_0002487
results in maturation of	http://purl.obolibrary.org/obo/RO_0002299
logical macro assertion involving identity	http://purl.obolibrary.org/obo/RO_0002601
has major susceptibility factor	http://purl.obolibrary.org/obo/RO_0004005
causally upstream of, negative effect	http://purl.obolibrary.org/obo/RO_0002305
has model	http://purl.obolibrary.org/obo/RO_0002615
axiom has evidence	http://purl.obolibrary.org/obo/RO_0002612
directly regulates	http://purl.obolibrary.org/obo/RO_0002578
has target start location	http://purl.obolibrary.org/obo/RO_0002338
participates in	http://purl.obolibrary.org/obo/RO_0000056
attached to part of	http://purl.obolibrary.org/obo/RO_0002177
immediately causally downstream of	http://purl.obolibrary.org/obo/RO_0002405
in reversal relationship with	http://purl.obolibrary.org/obo/RO_HOM0000009
contributes to frequency of condition	http://purl.obolibrary.org/obo/RO_0003306
results in structural organization of	http://purl.obolibrary.org/obo/RO_0002355
is active in	http://purl.obolibrary.org/obo/RO_0002432
disposition of	http://purl.obolibrary.org/obo/RO_0000092
formed as result of	http://purl.obolibrary.org/obo/RO_0002354
sequence bearer	http://purl.obolibrary.org/obo/RO_0002534
child nucleus of in male	http://purl.obolibrary.org/obo/RO_0002478
negatively regulates	http://purl.obolibrary.org/obo/RO_0002212
causally related to	http://purl.obolibrary.org/obo/RO_0002410
in many to many homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000036
in isoorthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000054
results in adhesion of	http://purl.obolibrary.org/obo/RO_0012007
coincident with	http://purl.obolibrary.org/obo/RO_0002008
inherited annotation property	http://purl.obolibrary.org/obo/RO_0002483
sequentially related to	http://purl.obolibrary.org/obo/RO_0002514
is mutualism	http://purl.obolibrary.org/obo/RO_0002467
synapsed_via_type_ii_bouton_to	http://purl.obolibrary.org/obo/RO_0002107
has chemical role	http://purl.obolibrary.org/obo/RO_0002262
tracheates	http://purl.obolibrary.org/obo/RO_0002004
synapsed_by_via_type_ii_bouton	http://purl.obolibrary.org/obo/RO_0002108
condition exacerbated by	http://purl.obolibrary.org/obo/RO_0003311
directly positively regulates quantity of	http://purl.obolibrary.org/obo/RO_0011009
causal relation between entities	http://purl.obolibrary.org/obo/RO_0002506
has increased age-specific mortality rate	http://purl.obolibrary.org/obo/RO_0002029
existence overlaps	http://purl.obolibrary.org/obo/RO_0002490
related via exposure to	http://purl.obolibrary.org/obo/RO_0002244
role of	http://purl.obolibrary.org/obo/RO_0000081
causal relation between processes	http://purl.obolibrary.org/obo/RO_0002501
has exemplar data	http://purl.obolibrary.org/obo/RO_0015001
hyperparasite of	http://purl.obolibrary.org/obo/RO_0002553
in 1 to many orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000034
epiphyte of	http://purl.obolibrary.org/obo/RO_0008501
results in formation of	http://purl.obolibrary.org/obo/RO_0002297
involved in or involved in regulation of	http://purl.obolibrary.org/obo/RO_0002431
attached to	http://purl.obolibrary.org/obo/RO_0002371
process has causal agent	http://purl.obolibrary.org/obo/RO_0002608
has material basis in somatic mutation in	http://purl.obolibrary.org/obo/RO_0004004
has evidence	http://purl.obolibrary.org/obo/RO_0002558
in biological homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000008
part of structure that is capable of	http://purl.obolibrary.org/obo/RO_0002329
results in remodeling of	http://purl.obolibrary.org/obo/RO_0002591
in homoeology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000073
pollinates	http://purl.obolibrary.org/obo/RO_0002455
directly negatively regulated by	http://purl.obolibrary.org/obo/RO_0002023
results in development of	http://purl.obolibrary.org/obo/RO_0002296
molecularly interacts with	http://purl.obolibrary.org/obo/RO_0002436
results in developmental induction of	http://purl.obolibrary.org/obo/RO_0002357
involved in negative regulation of	http://purl.obolibrary.org/obo/RO_0002430
causally upstream of or within	http://purl.obolibrary.org/obo/RO_0002418
tributary of	http://purl.obolibrary.org/obo/RO_0002376
in convergence relationship with	http://purl.obolibrary.org/obo/RO_HOM0000004
enables subfunction	http://purl.obolibrary.org/obo/RO_0004031
end, days post coitum	http://purl.obolibrary.org/obo/RO_0002548
host of	http://purl.obolibrary.org/obo/RO_0002453
results in transport to from or in	http://purl.obolibrary.org/obo/RO_0002344
always present in taxon	http://purl.obolibrary.org/obo/RO_0002504
transformation of	http://purl.obolibrary.org/obo/RO_0002494
is vector for	http://purl.obolibrary.org/obo/RO_0002459
participates in a abiotic-biotic interaction with	http://purl.obolibrary.org/obo/RO_0002446
active ingredient in	http://purl.obolibrary.org/obo/RO_0002249
dispositional interpretation	http://purl.obolibrary.org/obo/RO_0002474
is causal germline mutation partially giving rise to	http://purl.obolibrary.org/obo/RO_0004016
lays eggs in	http://purl.obolibrary.org/obo/RO_0002624
logical macro assertion on an annotation property	http://purl.obolibrary.org/obo/RO_0002423
in functional equivalence relationship with	http://purl.obolibrary.org/obo/RO_HOM0000065
exports	http://purl.obolibrary.org/obo/RO_0002345
obligate parasite of	http://purl.obolibrary.org/obo/RO_0002227
in regulogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000075
is small molecule inhibitor	http://purl.obolibrary.org/obo/RO_0012006
has active ingredient	http://purl.obolibrary.org/obo/RO_0002248
has symptom	http://purl.obolibrary.org/obo/RO_0002452
in syntenic homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000010
has plasma membrane part	http://purl.obolibrary.org/obo/RO_0002104
related via localization to	http://purl.obolibrary.org/obo/RO_0002337
genetically interacts with	http://purl.obolibrary.org/obo/RO_0002435
branching part of	http://purl.obolibrary.org/obo/RO_0002380
has component	http://purl.obolibrary.org/obo/RO_0002180
creates habitat for	http://purl.obolibrary.org/obo/RO_0008505
has component participant	http://purl.obolibrary.org/obo/RO_0002238
system	http://purl.obolibrary.org/obo/RO_0002577
sequence atomic unit	http://purl.obolibrary.org/obo/RO_0002533
capable of inhibiting or preventing pathological process	http://purl.obolibrary.org/obo/RO_0002599
has developmental potential involving	http://purl.obolibrary.org/obo/RO_0002384
has start location	http://purl.obolibrary.org/obo/RO_0002231
disease has location	http://purl.obolibrary.org/obo/RO_0004026
indirectly activates	http://purl.obolibrary.org/obo/RO_0002407
in deep homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000044
ubiquitinates	http://purl.obolibrary.org/obo/RO_0002480
child nucleus of	http://purl.obolibrary.org/obo/RO_0002476
evolutionary variant of	http://purl.obolibrary.org/obo/RO_0002312
existence ends at start of	http://purl.obolibrary.org/obo/RO_0002593
month of gestation	http://purl.obolibrary.org/obo/RO_0002545
in syntenic paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000012
is sequentially aligned with	http://purl.obolibrary.org/obo/RO_0002521
existence starts with	http://purl.obolibrary.org/obo/RO_0002489
has target end location	http://purl.obolibrary.org/obo/RO_0002339
has presynaptic terminal in	http://purl.obolibrary.org/obo/RO_0002113
exposure event or process	http://purl.obolibrary.org/obo/RO_0002310
has exposure stressor	http://purl.obolibrary.org/obo/RO_0002241
indirectly positively regulates activity of	http://purl.obolibrary.org/obo/RO_0011013
synapsed_via_type_iii_bouton_to	http://purl.obolibrary.org/obo/RO_0002114
contributes to condition	http://purl.obolibrary.org/obo/RO_0003304
in neoteny relationship with	http://purl.obolibrary.org/obo/RO_HOM0000032
results in closure of	http://purl.obolibrary.org/obo/RO_0002585
immediately preceded by	http://purl.obolibrary.org/obo/RO_0002087
in register with	http://purl.obolibrary.org/obo/RO_0002026
in gametology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000046
in postdisplacement relationship with	http://purl.obolibrary.org/obo/RO_HOM0000051
lays eggs on	http://purl.obolibrary.org/obo/RO_0008507
in in-paralogy relationship with	http://purl.obolibrary.org/obo/RO_HOM0000023
is representative iri for equivalence set	http://purl.obolibrary.org/obo/RO_0002617
immediately precedes	http://purl.obolibrary.org/obo/RO_0002090
has end location	http://purl.obolibrary.org/obo/RO_0002232
regulated by	http://purl.obolibrary.org/obo/RO_0002334
gene product of	http://purl.obolibrary.org/obo/RO_0002204
during which starts	http://purl.obolibrary.org/obo/RO_0002088
results in developmental regression of	http://purl.obolibrary.org/obo/RO_0002301
capable of positively regulating	http://purl.obolibrary.org/obo/RO_0002598
connects	http://purl.obolibrary.org/obo/RO_0002176
acts upstream of or within, positive effect	http://purl.obolibrary.org/obo/RO_0004032
in ohnology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000022
synapsed to	http://purl.obolibrary.org/obo/RO_0002120
overlaps sequence of	http://purl.obolibrary.org/obo/RO_0002526
partner in	http://purl.obolibrary.org/obo/RO_0002461
is relational form of a class	http://purl.obolibrary.org/obo/RO_0002594
contained in	http://purl.obolibrary.org/obo/RO_0001018
transcribed from	http://purl.obolibrary.org/obo/RO_0002510
has part that occurs in	http://purl.obolibrary.org/obo/RO_0002479
results in growth of	http://purl.obolibrary.org/obo/RO_0002343
has allergic trigger	http://purl.obolibrary.org/obo/RO_0001022
output of	http://purl.obolibrary.org/obo/RO_0002353
obsolete downstream in neural circuit with	http://purl.obolibrary.org/obo/RO_0000302
synapsed_by_via_type_iii_bouton	http://purl.obolibrary.org/obo/RO_0002115
exacerbates condition	http://purl.obolibrary.org/obo/RO_0003309
directly negatively regulates activity of	http://purl.obolibrary.org/obo/RO_0002449
in taxon	http://purl.obolibrary.org/obo/RO_0002162
in paraxenology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000068
visits flowers of	http://purl.obolibrary.org/obo/RO_0002622
is consecutive sequence of	http://purl.obolibrary.org/obo/RO_0002520
transcribed to	http://purl.obolibrary.org/obo/RO_0002511
in progenesis relationship with	http://purl.obolibrary.org/obo/RO_HOM0000031
has material basis in germline mutation in	http://purl.obolibrary.org/obo/RO_0004003
causally upstream of	http://purl.obolibrary.org/obo/RO_0002411
in homology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000001
causally influenced by	http://purl.obolibrary.org/obo/RO_0002559
develops from part of	http://purl.obolibrary.org/obo/RO_0002225
receives input from	http://purl.obolibrary.org/obo/RO_0002485
is relational form of process class	http://purl.obolibrary.org/obo/RO_0002562
has synaptic io in region	http://purl.obolibrary.org/obo/RO_0013001
has end time value	http://purl.obolibrary.org/obo/RO_0002538
has negative regulatory component activity	http://purl.obolibrary.org/obo/RO_0002014
indirectly inhibits	http://purl.obolibrary.org/obo/RO_0002409
is subsequence of	http://purl.obolibrary.org/obo/RO_0002525
has direct input	http://purl.obolibrary.org/obo/RO_0002400
indirectly positively regulates quantity of	http://purl.obolibrary.org/obo/RO_0011024
has sensory dendrite in	http://purl.obolibrary.org/obo/RO_0013007
part of developmental precursor of	http://purl.obolibrary.org/obo/RO_0002287
has characteristic	http://purl.obolibrary.org/obo/RO_0000053
axiom contradicted by evidence	http://purl.obolibrary.org/obo/RO_0002613
has disposition	http://purl.obolibrary.org/obo/RO_0000091
derived from ancestral fusion of	http://purl.obolibrary.org/obo/RO_0002374
conduit for	http://purl.obolibrary.org/obo/RO_0002570
derives into	http://purl.obolibrary.org/obo/RO_0001001
acts upstream of, negative effect	http://purl.obolibrary.org/obo/RO_0004035
disease has inflammation site	http://purl.obolibrary.org/obo/RO_0004027
results in disappearance of	http://purl.obolibrary.org/obo/RO_0002300
developmentally preceded by	http://purl.obolibrary.org/obo/RO_0002258
in apparent orthology relationship with	http://purl.obolibrary.org/obo/RO_HOM0000060
in branching relationship with	http://purl.obolibrary.org/obo/RO_0002375
end, days post fertilization	http://purl.obolibrary.org/obo/RO_0002540
